sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,label
0.522854,0.6360521,0.6834307,0.6220465,0.5625443,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.4166052,3
0.522854,0.6360521,0.6826251,0.6220465,0.5565985,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.503812,3
0.522854,0.6360521,0.6826251,0.6220465,0.4896757,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.4166052,3
0.522854,0.6360521,0.7321823,0.6238168,0.5921277,0.4999492,0.5910622,0.570964,0.5495368,0.4607314,0.4854741,0.4219078,0.4166052,3
0.522854,0.6360521,0.6826251,0.6220465,0.4908359,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3716586,3
0.522854,0.6360521,0.6826251,0.6220465,0.4896757,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3708401,3
0.522854,0.5489284,0.6826251,0.6220465,0.5921277,0.3728107,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.522854,0.5489284,0.6826251,0.6220465,0.5921277,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.522854,0.5489284,0.6826251,0.6220465,0.5427726,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.4217741,0.5489284,0.6826251,0.6220465,0.5423271,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.4248473,0.5489284,0.6826251,0.6220465,0.5916682,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.4248473,0.5489284,0.6826251,0.6220465,0.5915265,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.5167588,0.5489284,0.6826251,0.6220465,0.5424975,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.522854,0.5489284,0.6826251,0.6220465,0.5684432,0.4999492,0.4882437,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.522854,0.5490517,0.6826251,0.6220465,0.5916682,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.4217741,0.5489284,0.6826251,0.6220465,0.5420589,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,4
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,5
